Date,Open,High,Low,Close,Adj Close,Volume,Z-Score
2012-01-03,14.621429,14.732143,14.607143,14.686786,12.575917,302220800,-0.8785558336031424
2012-01-04,14.642857,14.81,14.617143,14.765714,12.643503,260022000,-0.8766806721307003
2012-01-05,14.819643,14.948214,14.738214,14.929643,12.783874,271269600,-0.8727860676525458
2012-01-06,14.991786,15.098214,14.972143,15.085714,12.917513,318292800,-0.8690781364709701
2012-01-09,15.196429,15.276786,15.048214,15.061786,12.897022,394024400,-0.8696466301819129
2012-01-10,15.211071,15.214286,15.053571,15.115714,12.943199,258196400,-0.868365406541309
2012-01-11,15.095714,15.101786,14.975357,15.091071,12.922097,215084800,-0.8689508705519408
2012-01-12,15.081429,15.103571,14.955357,15.049643,12.886623,212587200,-0.8699351252766255
2012-01-13,14.989286,15.016071,14.952143,14.993214,12.838303,226021600,-0.8712757562947787
2012-01-17,15.15,15.213929,15.105714,15.167857,12.987849,242897200,-0.8671265973212896
2012-01-18,15.248571,15.338214,15.225,15.325357,13.12271,276791200,-0.863384725540336
2012-01-19,15.3625,15.406071,15.2325,15.276786,13.081123,261738400,-0.8645386832619105
2012-01-20,15.2675,15.267857,14.991071,15.010714,12.853287,413974400,-0.8708599952810367
2012-01-23,15.095357,15.301786,15.082143,15.264643,13.070724,306062400,-0.8648271783566231
2012-01-24,15.182143,15.182143,14.983929,15.014643,12.856652,547638000,-0.8707666473041095
2012-01-25,16.23,16.230356,15.8475,15.952143,13.659411,958314000,-0.8484936387510357
2012-01-26,16.012857,16.028214,15.826429,15.879643,13.597332,323985200,-0.850216067526277
2012-01-27,15.869286,16.017143,15.848929,15.974286,13.678373,299709200,-0.8479675594606774
2012-01-30,15.918214,16.210714,15.906786,16.178928,13.853602,379341200,-0.8431056932148031
2012-01-31,16.27107,16.365713,16.18107,16.302856,13.959721,391683600,-0.8401614255192313
2012-02-01,16.371786,16.3925,16.269644,16.2925,13.95085,270046000,-0.8404074835360835
2012-02-02,16.282143,16.3275,16.213572,16.254286,13.918127,186796400,-0.84131536058353
2012-02-03,16.332144,16.428572,16.27,16.417143,14.057578,286599600,-0.8374462228835469
2012-02-06,16.370714,16.606428,16.364286,16.570356,14.188769,249412800,-0.8338061955580031
2012-02-07,16.616072,16.776787,16.592142,16.743929,14.337393,316223600,-0.8296824807054094
2012-02-08,16.803572,17.028214,16.775,17.024286,14.577461,407890000,-0.8230217853497795
2012-02-09,17.17,17.741072,17.162857,17.613214,15.081747,884214800,-0.8090301017867191
2012-02-10,17.534286,17.772142,17.448214,17.622143,15.089386,631302000,-0.8088179843692448
2012-02-13,17.840357,17.993929,17.753214,17.95,15.370127,517216000,-0.8010287754129359
2012-02-14,18.023571,18.19857,17.928572,18.195,15.57991,460398400,-0.7952081212205484
2012-02-15,18.366428,18.79607,17.74607,17.77393,15.219359,1506120000,-0.805211852328527
2012-02-16,17.553572,18.031786,17.379642,17.936071,15.358198,944552000,-0.8013597075855089
2012-02-17,17.968214,18.134644,17.867857,17.932858,15.355442,535805200,-0.8014360626054714
2012-02-21,18.102858,18.3875,18.004286,18.3875,15.744743,605595200,-0.7906347047548348
2012-02-22,18.324286,18.410357,18.18107,18.322857,15.689396,483302400,-0.7921705055480492
2012-02-23,18.395714,18.493929,18.196428,18.4425,15.791844,568027600,-0.7893280596506114
2012-02-24,18.559643,18.675,18.522858,18.6575,15.975938,415072000,-0.784220112730609
2012-02-27,18.618214,18.875,18.438572,18.777143,16.078388,547582000,-0.7813776215186192
2012-02-28,18.855715,19.121786,18.780357,19.121786,16.373495,600387200,-0.7731896445055333
2012-02-29,19.341429,19.5575,19.132143,19.372856,16.58848,952011200,-0.7672247540944274
2012-03-01,19.5775,19.57893,19.241785,19.445356,16.650557,683270000,-0.7655023026619101
2012-03-02,19.437143,19.52857,19.375713,19.470715,16.672276,431712400,-0.7648998456943135
2012-03-05,19.479286,19.552856,18.785713,19.04143,16.304686,809124400,-0.7750987465773533
2012-03-06,18.702143,19.060356,18.436428,18.937857,16.216002,810238800,-0.7775594173749791
2012-03-07,19.171429,19.206429,18.689285,18.953215,16.229149,798520800,-0.7771945446030282
2012-03-08,19.096071,19.3925,19.004286,19.356787,16.574715,516457200,-0.7676065291942396
2012-03-09,19.436071,19.562143,19.396786,19.470358,16.67197,418919200,-0.76490831951552
2012-03-12,19.606428,19.714287,19.535713,19.714287,16.88084,407282400,-0.7591130867867519
2012-03-13,19.912144,20.292143,19.848213,20.289286,17.3732,690855200,-0.7454523353962645
